Date,COVID_Patients,COVID_ICUPatients,Bed_Occupancy,Link,
2020-10-12,899,230,71.30%,"https://web.archive.org/web/20201013001227/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-10-15,1000,254,76.50%,"https://web.archive.org/web/20201016144608/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-10-19,1050,267,71.00%,"https://web.archive.org/web/20201020002720/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-10-22,1182,273,75.70%,"https://web.archive.org/web/20201023003732/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-10-26,1332,320,71.60%,"https://web.archive.org/web/20201027014058/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-10-29,1545,372,75.80%,"https://web.archive.org/web/20201030154105/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-02,1828,399,71.40%,"https://web.archive.org/web/20201103025059/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-05,2202,470,75.30%,"https://web.archive.org/web/20201106031626/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-09,2565,536,74.00%,"https://web.archive.org/web/20201110020442/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-12,3071,602,78.40%,"https://web.archive.org/web/20201113034742/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-16,3564,743,74.00%,"https://web.archive.org/web/20201116204711/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-19,3782,838,78.00%,"https://web.archive.org/web/20201120021431/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-23,4022,869,75%,"https://web.archive.org/web/20201124154303/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-11-30,4275,848,74%,"https://web.archive.org/web/20201201025129/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-03,4103,836,78%,"https://web.archive.org/web/20201204004854/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-07,4079,836,74%,"https://web.archive.org/web/20201207231519/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-10,3846,860,78%,"https://web.archive.org/web/20201211030526/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-14,3760,860,74%,"https://web.archive.org/web/20201215025606/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-17,3357,781,76%,"https://web.archive.org/web/20201218012941/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
